,d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST,FPR_AC,FPR_MST
3,1,30,0.49,0.47,0.148148148,0.240740741,0.108695652,0.260869565
4,1,40,0.65,0.62,0.227272727,0.204545455,0.017857143,0.053571429
5,1,50,0.55,0.61,0.263157895,0.456140351,0.069767442,0.186046512
6,1,60,0.61,0.61,0.270833333,0.25,0.076923077,0.057692308
7,1,70,0.69,0.61,0.468085106,0.212765957,0.113207547,0.037735849
8,1,80,0.82,0.72,0.733333333,0.816666667,0.05,0.425
9,1,90,0.75,0.62,0.634615385,0.403846154,0.125,0.145833333
10,1,100,0.77,0.6,0.7,0.44,0.16,0.24
13,10,30,0.85,0.84,0.909090909,0.727272727,0.196428571,0.071428571
14,10,40,0.9,0.9,1,1,0.243902439,0.243902439
15,10,50,0.98,0.96,1,1,0.04,0.08
16,10,60,0.93,0.91,1,1,0.137254902,0.176470588
17,10,70,0.97,0.94,1,1,0.065217391,0.130434783
18,10,80,0.98,0.93,1,1,0.040816327,0.142857143
19,10,90,0.89,0.92,1,1,0.234042553,0.170212766
20,10,100,0.93,0.89,1,1,0.145833333,0.229166667
23,50,30,0.97,0.97,1,1,0.065217391,0.065217391
24,50,40,0.95,0.96,1,1,0.089285714,0.071428571
25,50,50,0.96,0.9,1,1,0.08,0.2
26,50,60,0.96,0.94,1,1,0.081632653,0.12244898
27,50,70,0.97,0.94,1,1,0.0625,0.125
28,50,80,0.97,0.9,1,1,0.06,0.2
29,50,90,0.95,0.92,1,1,0.102040816,0.163265306
30,50,100,0.91,0.94,1,1,0.195652174,0.130434783
33,100,30,1,0.97,1,1,0,0.075
34,100,40,0.98,0.97,1,1,0.045454545,0.068181818
35,100,50,0.98,0.95,1,1,0.047619048,0.119047619
36,100,60,0.98,0.93,1,1,0.036363636,0.127272727
37,100,70,0.97,0.95,1,1,0.057692308,0.096153846
38,100,80,0.97,0.92,1,1,0.066666667,0.177777778
39,100,90,0.94,0.96,1,1,0.113207547,0.075471698
40,100,100,0.95,0.9,1,1,0.089285714,0.178571429
43,300,30,0.95,0.95,1,1,0.096153846,0.096153846
44,300,40,0.98,0.96,1,1,0.042553191,0.085106383
45,300,50,0.93,0.91,1,1,0.132075472,0.169811321
46,300,60,0.95,0.88,1,1,0.106382979,0.255319149
47,300,70,0.94,0.92,1,1,0.12244898,0.163265306
48,300,80,0.97,0.91,1,1,0.075,0.225
49,300,90,0.94,0.94,1,1,0.111111111,0.111111111
50,300,100,0.98,0.94,1,1,0.043478261,0.130434783
53,500,30,0.93,0.94,1,1,0.159090909,0.136363636
54,500,40,0.96,0.95,1,1,0.08,0.1
55,500,50,0.85,0.92,1,1,0.3125,0.166666667
56,500,60,0.98,0.95,1,1,0.051282051,0.128205128
57,500,70,0.98,0.91,1,1,0.036363636,0.163636364
58,500,80,0.91,0.89,1,1,0.14516129,0.177419355
59,500,90,0.95,0.92,1,1,0.106382979,0.170212766
60,500,100,0.94,0.93,1,1,0.115384615,0.134615385