d,n,AccuracyAC,AccuracyMST,AccuracyR,SensitivityAC,SensitivityMST,SensitivityR
1,30,0.81,0.68,0.46,0.71,0.57,0.09
 ,60,0.91,0.68,0.56,0.98,0.84,0.22
 ,200,0.96,0.75,0.77,1.00,0.68,0.61
10,30,0.91,0.7,0.68,0.86,0.38,0.31
 ,60,0.95,0.75,0.66,0.98,0.54,0.38
 ,200,0.89,0.88,0.89,1.00,0.91,0.81
50,30,0.82,0.63,0.44,0.75,0.49,0.16
 ,60,0.95,0.74,0.74,0.96,0.69,0.54
 ,200,0.94,0.9,0.89,1.00,0.93,0.77
100,30,0.84,0.58,0.59,0.76,0.27,0.25
 ,60,0.98,0.52,0.55,0.98,0.26,0.21
 ,200,0.96,0.9,0.97,1.00,0.92,0.96
500,30,0.78,0.61,0.6,0.61,0.45,0.16
 ,60,0.91,0.61,0.66,1.00,0.23,0.21
 ,200,0.99,0.82,0.83,1.00,0.77,0.67