,d,n,AccuracyAC,AccuracyMST,AccuracyR,SensitivityAC,SensitivityMST,SensitivityR
1,1,30,0.78,0.59,0.58,0.680851064,0.14893617,0.170212766
2,1,40,0.84,0.7,0.53,0.87037037,0.814814815,0.314814815
3,1,50,0.86,0.66,0.6,0.918367347,0.306122449,0.285714286
4,1,60,0.93,0.57,0.48,0.947368421,0.245614035,0.192982456
5,1,70,0.94,0.7,0.63,0.980392157,0.862745098,0.333333333
6,1,80,0.95,0.82,0.69,1,0.755555556,0.4
7,1,90,0.95,0.79,0.61,1,0.66,0.3
8,1,100,0.95,0.71,0.61,1,0.962264151,0.320754717
9,10,30,0.83,0.65,0.56,0.785714286,0.446428571,0.267857143
10,10,40,0.93,0.78,0.67,0.88,0.72,0.34
11,10,50,0.94,0.76,0.69,0.96,0.84,0.42
12,10,60,0.98,0.7,0.7,1,0.470588235,0.490196078
13,10,70,0.97,0.78,0.75,1,0.666666667,0.5
14,10,80,0.96,0.81,0.82,1,0.720930233,0.627906977
15,10,90,0.96,0.79,0.8,1,0.755555556,0.6
16,10,100,0.97,0.85,0.85,1,0.977272727,0.727272727
17,50,30,0.74,0.51,0.54,0.7,0.26,0.14
18,50,40,0.91,0.74,0.52,0.875,0.589285714,0.142857143
19,50,50,0.92,0.67,0.59,0.948275862,0.586206897,0.344827586
20,50,60,0.98,0.76,0.67,1,0.678571429,0.464285714
21,50,70,0.94,0.83,0.69,1,0.807692308,0.442307692
22,50,80,0.92,0.8,0.75,1,0.744680851,0.510638298
23,50,90,0.93,0.74,0.74,1,0.666666667,0.533333333
24,50,100,0.96,0.82,0.77,1,0.703703704,0.592592593
25,100,30,0.81,0.55,0.52,0.722222222,0.185185185,0.166666667
26,100,40,0.94,0.71,0.58,0.945454545,0.745454545,0.272727273
27,100,50,0.92,0.59,0.58,0.918032787,0.426229508,0.327868852
28,100,60,0.94,0.62,0.62,0.981132075,0.396226415,0.301886792
29,100,70,0.96,0.74,0.62,1,0.693877551,0.306122449
30,100,80,0.97,0.67,0.68,1,0.387755102,0.408163265
31,100,90,0.94,0.73,0.71,1,0.531914894,0.382978723
32,100,100,0.93,0.77,0.76,1,0.5,0.45
33,300,30,0.73,0.55,0.56,0.6,0.377777778,0.177777778
34,300,40,0.86,0.67,0.52,0.811320755,0.452830189,0.094339623
35,300,50,0.89,0.62,0.58,0.960784314,0.37254902,0.235294118
36,300,60,0.95,0.69,0.66,1,0.458333333,0.354166667
37,300,70,0.94,0.76,0.65,1,0.574468085,0.319148936
38,300,80,0.94,0.59,0.65,0.981481481,0.388888889,0.388888889
39,300,90,0.94,0.8,0.73,1,0.755555556,0.466666667
40,300,100,0.96,0.79,0.67,1,0.745098039,0.392156863
41,500,30,0.73,0.62,0.49,0.566037736,0.41509434,0.132075472
42,500,40,0.89,0.69,0.57,0.918367347,0.571428571,0.163265306
43,500,50,0.89,0.57,0.54,0.94,0.3,0.14
44,500,60,0.94,0.61,0.52,0.964912281,0.421052632,0.192982456
45,500,70,0.94,0.61,0.49,1,0.357142857,0.125
46,500,80,0.97,0.69,0.66,1,0.509803922,0.37254902
47,500,90,0.95,0.64,0.64,1,0.448979592,0.306122449
48,500,100,0.92,0.73,0.64,1,0.688888889,0.266666667