,d,n,AccuracyAC,AccuracyMST,AccuracyR,SensitivityAC,SensitivityMST,SensitivityR,FPR_AC,FPR_MST,FPR_R
1,1,30,0.78,0.56,0.47,0.627118644,0.271186441,0.101694915,0,0.024390244,0
2,1,40,0.85,0.57,0.56,0.725490196,0.156862745,0.196078431,0.020408163,0,0.06122449
3,1,50,0.92,0.62,0.67,0.85106383,0.191489362,0.361702128,0.018867925,0,0.056603774
4,1,60,0.95,0.68,0.58,0.962264151,0.509433962,0.283018868,0.063829787,0.127659574,0.085106383
5,1,70,0.97,0.65,0.57,0.945454545,0.454545455,0.309090909,0,0.111111111,0.111111111
6,1,80,0.98,0.78,0.63,0.983333333,0.866666667,0.383333333,0.025,0.35,0
7,1,90,0.94,0.67,0.63,1,0.964912281,0.350877193,0.139534884,0.720930233,0
8,1,100,0.98,0.73,0.58,1,0.645833333,0.270833333,0.038461538,0.192307692,0.134615385
9,5,30,0.8,0.61,0.56,0.641509434,0.301886792,0.188679245,0.021276596,0.042553191,0.021276596
10,5,40,0.86,0.69,0.62,0.82,0.48,0.26,0.1,0.1,0.02
11,5,50,0.95,0.61,0.75,0.916666667,0.270833333,0.479166667,0.019230769,0.076923077,0
12,5,60,0.93,0.73,0.68,0.927272727,0.545454545,0.436363636,0.066666667,0.044444444,0.022222222
13,5,70,0.98,0.76,0.69,1,0.666666667,0.470588235,0.040816327,0.142857143,0.081632653
14,5,80,0.98,0.77,0.8,1,0.568627451,0.607843137,0.040816327,0.020408163,0
15,5,90,0.97,0.88,0.82,1,0.884615385,0.673076923,0.0625,0.125,0.020833333
16,5,100,0.98,0.79,0.77,1,0.617021277,0.638297872,0.037735849,0.056603774,0.113207547
17,10,30,0.82,0.64,0.63,0.711111111,0.266666667,0.244444444,0.090909091,0.054545455,0.054545455
18,10,40,0.84,0.48,0.6,0.867924528,0.169811321,0.283018868,0.191489362,0.170212766,0.042553191
19,10,50,0.91,0.68,0.63,0.943396226,0.566037736,0.377358491,0.127659574,0.191489362,0.085106383
20,10,60,0.99,0.67,0.68,1,0.340909091,0.386363636,0.017857143,0.071428571,0.089285714
21,10,70,0.96,0.75,0.74,0.959183673,0.632653061,0.551020408,0.039215686,0.137254902,0.078431373
22,10,80,0.97,0.74,0.7,0.981132075,0.528301887,0.452830189,0.042553191,0.021276596,0.021276596
23,10,90,0.96,0.8,0.75,1,0.703703704,0.592592593,0.086956522,0.086956522,0.065217391
24,10,100,1,0.84,0.82,1,0.744186047,0.627906977,0,0.087719298,0.035087719
25,50,30,0.86,0.59,0.63,0.734693878,0.285714286,0.265306122,0.019607843,0.117647059,0.019607843
26,50,40,0.85,0.67,0.65,0.76744186,0.372093023,0.186046512,0.087719298,0.105263158,0
27,50,50,0.93,0.8,0.75,0.930232558,0.697674419,0.465116279,0.070175439,0.122807018,0.035087719
28,50,60,0.98,0.74,0.7,1,0.541666667,0.395833333,0.038461538,0.076923077,0.019230769
29,50,70,0.96,0.71,0.67,1,0.561403509,0.49122807,0.093023256,0.093023256,0.093023256
30,50,80,0.98,0.75,0.71,1,0.565217391,0.413043478,0.037037037,0.092592593,0.037037037
31,50,90,0.98,0.74,0.74,1,0.537037037,0.555555556,0.043478261,0.02173913,0.043478261
32,50,100,0.99,0.77,0.75,1,0.641509434,0.547169811,0.021276596,0.085106383,0.021276596
33,100,30,0.84,0.6,0.65,0.627906977,0.186046512,0.255813953,0,0.087719298,0.052631579
34,100,40,0.92,0.71,0.61,0.875,0.395833333,0.208333333,0.038461538,0,0.019230769
35,100,50,0.93,0.54,0.45,0.901639344,0.295081967,0.131147541,0.025641026,0.076923077,0.051282051
36,100,60,0.96,0.65,0.65,0.962264151,0.339622642,0.358490566,0.042553191,0,0.021276596
37,100,70,0.95,0.49,0.59,0.98245614,0.245614035,0.298245614,0.093023256,0.186046512,0.023255814
38,100,80,0.96,0.54,0.63,1,0.240740741,0.333333333,0.086956522,0.108695652,0.02173913
39,100,90,0.95,0.7,0.6,1,0.561403509,0.333333333,0.11627907,0.11627907,0.046511628
40,100,100,0.99,0.78,0.75,1,0.645833333,0.520833333,0.019230769,0.096153846,0.038461538
41,300,30,0.8,0.65,0.58,0.590909091,0.25,0.045454545,0.035714286,0.035714286,0
42,300,40,0.79,0.55,0.52,0.62962963,0.222222222,0.166666667,0.02173913,0.065217391,0.065217391
43,300,50,0.92,0.63,0.54,0.865384615,0.403846154,0.134615385,0.020833333,0.125,0.020833333
44,300,60,0.94,0.59,0.53,0.924528302,0.339622642,0.169811321,0.042553191,0.127659574,0.063829787
45,300,70,0.97,0.69,0.73,1,0.369565217,0.413043478,0.055555556,0.037037037,0
46,300,80,0.98,0.63,0.59,1,0.431034483,0.310344828,0.047619048,0.095238095,0.023809524
47,300,90,1,0.68,0.67,1,0.361702128,0.319148936,0,0.037735849,0.018867925
48,300,100,0.98,0.7,0.61,1,0.553571429,0.321428571,0.045454545,0.113636364,0.022727273
49,500,30,0.73,0.55,0.5,0.5,0.2,0.04,0.04,0.1,0.04
50,500,40,0.84,0.67,0.58,0.68,0.44,0.16,0,0.1,0
51,500,50,0.92,0.61,0.57,0.87755102,0.244897959,0.163265306,0.039215686,0.039215686,0.039215686
52,500,60,0.96,0.66,0.66,0.914893617,0.340425532,0.29787234,0,0.056603774,0.018867925
53,500,70,0.93,0.67,0.56,0.963636364,0.436363636,0.254545455,0.111111111,0.044444444,0.066666667
54,500,80,0.96,0.76,0.62,1,0.660714286,0.339285714,0.090909091,0.113636364,0.022727273
55,500,90,0.98,0.85,0.63,1,0.826923077,0.288461538,0.041666667,0.125,0
56,500,100,0.94,0.66,0.69,1,0.425531915,0.382978723,0.113207547,0.132075472,0.037735849