 , , ,Accuracy, , ,Sensitivity, 
d,n,GSR CG,GSR MST,GraphCounting,GSR CG,GSR MST,GraphCounting
1,30,0.58,0.62,0.50,0.25,0.38,0.10
1,60,0.72,0.61,0.55,0.58,0.84,0.09
1,200,0.93,0.76,0.48,0.93,0.67,0.14
10,30,0.93,0.94,0.59,1.00,0.98,0.09
10,60,0.94,0.88,0.61,1.00,1.00,0.23
10,200,0.96,0.95,0.86,1.00,1.00,0.84
50,30,0.96,0.96,0.39,1.00,1.00,0.00
50,60,0.97,0.92,0.47,1.00,1.00,0.00
50,200,0.95,0.92,0.95,1.00,1.00,0.95
100,30,0.89,0.92,0.56,1.00,1.00,0.00
100,60,0.97,0.99,0.52,1.00,1.00,0.00
100,200,0.95,0.91,0.95,1.00,1.00,0.98
500,30,0.92,0.88,0.44,1.00,1.00,0.00
500,60,0.92,0.95,0.57,1.00,1.00,0.00
500,200,0.96,0.94,0.87,1.00,1.00,0.81